"Asset-ID";"Gerätename";"Name";"DisplayName";"Version";"Hersteller";"Quelle";"Pakettyp";"PaketId";"InstallDatum";"Installationsort";"Architektur";"BenutzerKontext";"Publisher";"InstallDate";"InstallLocation";"Source";"Sources";"Scope";"Architecture";"UserSID";"PackageType";"DetectionConfidence";"RawSourceKey";"RawPath";"RawNames";"RawEntryCount";"ScanStatus";"ScanMode";"UpdateStatus";"UpdateAvailable";"InstalledVersion";"LatestVersion";"UpdateSource";"UpdateRaw";"UpdateCheckedAt"
"AS-0004";"GOLDENZOPF";"Macrium Reflect Free";"Macrium Reflect Free";"v8.0.7783";"Paramount Software (UK) Ltd.";"RegistryHKLM64";"Registry";"MacriumReflect";"03.03.2025";"";"x64";"Machine";"Paramount Software (UK) Ltd.";"03.03.2025";"";"RegistryHKLM64";"RegistryHKLM64";"Machine";"x64";"";"Registry";"High";"Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Uninstall\MacriumReflect";"";"Macrium Reflect Free";"1";"OK";"ADMIN";"NotChecked";"False";"v8.0.7783";"";"";"";""
"AS-0004";"GOLDENZOPF";"Macrium Service";"Macrium Service";"";"";"Services";"Service";"";"";"";"Unknown";"System";"";"";"";"Services";"Services";"System";"Unknown";"";"Service";"Low";"";"""C:\Program Files\Macrium\Common\MacriumService.exe""";"Macrium Service";"1";"OK";"ADMIN";"NotChecked";"False";"";"";"";"";""
"AS-0004";"GOLDENZOPF";"Mail und Kalender";"Mail und Kalender";"MSIX\microsoft.windowscommunicationsapps_… 16005.14326.223…";"";"Winget";"Winget";"";"";"";"Unknown";"Machine/User";"";"";"";"Winget";"Winget";"Machine/User";"Unknown";"";"Winget";"Medium";"";"";"Mail und Kalender";"1";"OK";"ADMIN";"NotChecked";"False";"MSIX\microsoft.windowscommunicationsapps_… 16005.14326.223…";"";"";"";""
"AS-0004";"GOLDENZOPF";"Manager für heruntergeladene Karten";"Manager für heruntergeladene Karten";"";"";"Services";"Service";"";"";"";"Unknown";"System";"";"";"";"Services";"Services";"System";"Unknown";"";"Service";"Low";"";"C:\WINDOWS\System32\svchost.exe -k NetworkService -p";"Manager für heruntergeladene Karten";"1";"OK";"ADMIN";"NotChecked";"False";"";"";"";"";""
"AS-0004";"GOLDENZOPF";"Manager-Dienst für den Funktionszugriff";"Manager-Dienst für den Funktionszugriff";"";"";"Services";"Service";"";"";"";"Unknown";"System";"";"";"";"Services";"Services";"System";"Unknown";"";"Service";"Low";"";"C:\WINDOWS\system32\svchost.exe -k osprivacy -p";"Manager-Dienst für den Funktionszugriff";"1";"OK";"ADMIN";"NotChecked";"False";"";"";"";"";""
"AS-0004";"GOLDENZOPF";"McpManagementService";"McpManagementService";"";"";"Services";"Service";"";"";"";"Unknown";"System";"";"";"";"Services";"Services";"System";"Unknown";"";"Service";"Low";"";"C:\WINDOWS\system32\svchost.exe -k McpManagementServiceGroup";"McpManagementService";"1";"OK";"ADMIN";"NotChecked";"False";"";"";"";"";""
"AS-0004";"GOLDENZOPF";"MessagingService_112c35";"MessagingService_112c35";"";"";"Services";"Service";"";"";"";"Unknown";"System";"";"";"";"Services";"Services";"System";"Unknown";"";"Service";"Low";"";"C:\WINDOWS\system32\svchost.exe -k UnistackSvcGroup";"MessagingService_112c35";"1";"OK";"ADMIN";"NotChecked";"False";"";"";"";"";""
"AS-0004";"GOLDENZOPF";"Microsoft .NET 6.0.36 - Windows Server Ho… Microsoft.DotNet.HostingBundle.6";"Microsoft .NET 6.0.36 - Windows Server Ho… Microsoft.DotNet.HostingBundle.6";"winget";"";"Winget";"Winget";"6.0.36";"";"";"Unknown";"Machine/User";"";"";"";"Winget";"Winget";"Machine/User";"Unknown";"";"Winget";"Medium";"";"";"Microsoft .NET 6.0.36 - Windows Server Ho… Microsoft.DotNet.HostingBundle.6";"1";"OK";"ADMIN";"NotChecked";"False";"winget";"";"";"";""
"AS-0004";"GOLDENZOPF";"Microsoft .NET 6.0.36 - Windows Server Hosting";"Microsoft .NET 6.0.36 - Windows Server Hosting";"6.0.36.24516";"Microsoft Corporation";"RegistryHKLM32";"Registry";"{e58a7de8-5b9f-4646-adce-962a1681959f}";"";"";"x86";"Machine";"Microsoft Corporation";"";"";"RegistryHKLM32";"RegistryHKLM32";"Machine";"x86";"";"Registry";"High";"Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\Software\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{e58a7de8-5b9f-4646-adce-962a1681959f}";"";"Microsoft .NET 6.0.36 - Windows Server Hosting";"1";"OK";"ADMIN";"NotChecked";"False";"6.0.36.24516";"";"";"";""
"AS-0004";"GOLDENZOPF";"Microsoft .NET 8.0.19 - Windows Server Ho… Microsoft.DotNet.HostingBundle.8";"Microsoft .NET 8.0.19 - Windows Server Ho… Microsoft.DotNet.HostingBundle.8";"winget";"";"Winget";"Winget";"8.0.19";"";"";"Unknown";"Machine/User";"";"";"";"Winget";"Winget";"Machine/User";"Unknown";"";"Winget";"Medium";"";"";"Microsoft .NET 8.0.19 - Windows Server Ho… Microsoft.DotNet.HostingBundle.8";"1";"OK";"ADMIN";"NotChecked";"False";"winget";"";"";"";""
"AS-0004";"GOLDENZOPF";"Microsoft .NET 8.0.19 - Windows Server Hosting";"Microsoft .NET 8.0.19 - Windows Server Hosting";"8.0.19.25372";"Microsoft Corporation";"RegistryHKLM32";"Registry";"{59932048-58de-4541-8e3c-69701c17d9d3}";"";"";"x86";"Machine";"Microsoft Corporation";"";"";"RegistryHKLM32";"RegistryHKLM32";"Machine";"x86";"";"Registry";"High";"Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\Software\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{59932048-58de-4541-8e3c-69701c17d9d3}";"";"Microsoft .NET 8.0.19 - Windows Server Hosting";"1";"OK";"ADMIN";"NotChecked";"False";"8.0.19.25372";"";"";"";""
"AS-0004";"GOLDENZOPF";"Microsoft .NET 8.0.26 - Windows Server Ho… Microsoft.DotNet.HostingBundle.8";"Microsoft .NET 8.0.26 - Windows Server Ho… Microsoft.DotNet.HostingBundle.8";"winget";"";"Winget";"Winget";"8.0.26";"";"";"Unknown";"Machine/User";"";"";"";"Winget";"Winget";"Machine/User";"Unknown";"";"Winget";"Medium";"";"";"Microsoft .NET 8.0.26 - Windows Server Ho… Microsoft.DotNet.HostingBundle.8";"1";"OK";"ADMIN";"NotChecked";"False";"winget";"";"";"";""
"AS-0004";"GOLDENZOPF";"Microsoft .NET 8.0.26 - Windows Server Hosting";"Microsoft .NET 8.0.26 - Windows Server Hosting";"8.0.26.26169";"Microsoft Corporation";"RegistryHKLM32";"Registry";"{1acdab2d-6ceb-492e-b4a7-7aaafa78a4eb}";"";"";"x86";"Machine";"Microsoft Corporation";"";"";"RegistryHKLM32";"RegistryHKLM32";"Machine";"x86";"";"Registry";"High";"Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\Software\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{1acdab2d-6ceb-492e-b4a7-7aaafa78a4eb}";"";"Microsoft .NET 8.0.26 - Windows Server Hosting";"1";"OK";"ADMIN";"NotChecked";"False";"8.0.26.26169";"";"";"";""
"AS-0004";"GOLDENZOPF";"Microsoft .NET Host - 6.0.36 (x64)";"Microsoft .NET Host - 6.0.36 (x64)";"48.144.23141";"Microsoft Corporation";"RegistryHKLM64";"Registry";"{D6932D97-36F1-40B8-9CDC-CA8365B21000}";"20250115";"";"x64";"Machine";"Microsoft Corporation";"20250115";"";"RegistryHKLM64";"RegistryHKLM64";"Machine";"x64";"";"Registry";"High";"Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Uninstall\{D6932D97-36F1-40B8-9CDC-CA8365B21000}";"";"Microsoft .NET Host - 6.0.36 (x64)";"1";"OK";"ADMIN";"NotChecked";"False";"48.144.23141";"";"";"";""
"AS-0004";"GOLDENZOPF";"Microsoft .NET Host - 6.0.36 (x86)";"Microsoft .NET Host - 6.0.36 (x86)";"48.144.23141";"Microsoft Corporation";"RegistryHKLM32";"Registry";"{FBC9D6AE-6396-4FC7-BC18-00852836F16D}";"20250115";"";"x86";"Machine";"Microsoft Corporation";"20250115";"";"RegistryHKLM32";"RegistryHKLM32";"Machine";"x86";"";"Registry";"High";"Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\Software\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{FBC9D6AE-6396-4FC7-BC18-00852836F16D}";"";"Microsoft .NET Host - 6.0.36 (x86)";"1";"OK";"ADMIN";"NotChecked";"False";"48.144.23141";"";"";"";""
"AS-0004";"GOLDENZOPF";"Microsoft .NET Host - 8.0.26 (x64)";"Microsoft .NET Host - 8.0.26 (x64)";"64.104.50421";"Microsoft Corporation";"RegistryHKLM64";"Registry";"{2D690786-1257-44F3-AB75-7F55B62B42E9}";"20260414";"";"x64";"Machine";"Microsoft Corporation";"20260414";"";"RegistryHKLM64";"RegistryHKLM64";"Machine";"x64";"";"Registry";"High";"Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Uninstall\{2D690786-1257-44F3-AB75-7F55B62B42E9}";"";"Microsoft .NET Host - 8.0.26 (x64)";"1";"OK";"ADMIN";"NotChecked";"False";"64.104.50421";"";"";"";""
"AS-0004";"GOLDENZOPF";"Microsoft .NET Host - 8.0.26 (x86)";"Microsoft .NET Host - 8.0.26 (x86)";"64.104.50421";"Microsoft Corporation";"RegistryHKLM32";"Registry";"{1405974B-528B-4C50-B559-E27E50CE2614}";"20260414";"";"x86";"Machine";"Microsoft Corporation";"20260414";"";"RegistryHKLM32";"RegistryHKLM32";"Machine";"x86";"";"Registry";"High";"Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\Software\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{1405974B-528B-4C50-B559-E27E50CE2614}";"";"Microsoft .NET Host - 8.0.26 (x86)";"1";"OK";"ADMIN";"NotChecked";"False";"64.104.50421";"";"";"";""
"AS-0004";"GOLDENZOPF";"Microsoft .NET Host - 9.0.15 (x64)";"Microsoft .NET Host - 9.0.15 (x64)";"72.60.50518";"Microsoft Corporation";"RegistryHKLM64";"Registry";"{FCBBC2DC-2AD7-4F1F-A444-87A9FA94C6BA}";"20260414";"";"x64";"Machine";"Microsoft Corporation";"20260414";"";"RegistryHKLM64";"RegistryHKLM64";"Machine";"x64";"";"Registry";"High";"Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Uninstall\{FCBBC2DC-2AD7-4F1F-A444-87A9FA94C6BA}";"";"Microsoft .NET Host - 9.0.15 (x64)";"1";"OK";"ADMIN";"NotChecked";"False";"72.60.50518";"";"";"";""
"AS-0004";"GOLDENZOPF";"Microsoft .NET Host FX Resolver - 6.0.36 (x64)";"Microsoft .NET Host FX Resolver - 6.0.36 (x64)";"48.144.23141";"Microsoft Corporation";"RegistryHKLM64";"Registry";"{A9E32B25-994B-4856-A12B-0EBED3050410}";"20250115";"";"x64";"Machine";"Microsoft Corporation";"20250115";"";"RegistryHKLM64";"RegistryHKLM64";"Machine";"x64";"";"Registry";"High";"Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Uninstall\{A9E32B25-994B-4856-A12B-0EBED3050410}";"";"Microsoft .NET Host FX Resolver - 6.0.36 (x64)";"1";"OK";"ADMIN";"NotChecked";"False";"48.144.23141";"";"";"";""
